Time,PGN,DA,SA,Priority,Data
1.502941370010376,60928,255,71,6,4D 74 30 04 00 34 02 20 
1.5034167766571045,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1.504101037979126,60928,255,3,6,4D 74 30 04 00 03 02 20 
1.5309081077575684,60928,255,0,6,56 F5 29 04 00 00 02 20 
1.533134937286377,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1.5334117412567139,59904,255,0,6,00 EE 00 
1.543013095855713,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1.5435147285461426,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.5441687107086182,65266,255,0,6,00 00 FF FF FF FF FF FF 
1.5532143115997314,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.5630383491516113,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.563575267791748,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.5641615390777588,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1.5731265544891357,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.57425856590271,60928,255,23,6,0C 6E 24 04 00 13 02 20 
1.5831272602081299,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.5836999416351318,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.5842766761779785,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1.5848510265350342,65247,255,0,6,7D 22 1C FF FF FF FF FF 
1.5854008197784424,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1.593050241470337,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.6030704975128174,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.6036427021026611,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.6041760444641113,65263,255,0,6,FF FF FF FE FF FF FF FA 
1.6131212711334229,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.6230721473693848,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.6236402988433838,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.6331000328063965,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.6362297534942627,60160,255,0,7,01 20 1C DD 68 42 DC A0 
1.6431248188018799,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.6436989307403564,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.6442761421203613,65266,255,0,6,00 00 FF FF FF FF FF FF 
1.6531286239624023,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.6630511283874512,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.6635894775390625,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.6642060279846191,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
1.6731016635894775,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.6831231117248535,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.6836977005004883,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.6842710971832275,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1.684821367263794,65270,255,0,6,FF 00 40 FF 00 FF FF FF 
1.6853954792022705,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
1.6930952072143555,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.7031524181365967,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1.7036700248718262,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.7042577266693115,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.7131357192993164,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.7230217456817627,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.7235655784606934,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.7331287860870361,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.7363324165344238,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
1.7431299686431885,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.7437305450439453,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.744304895401001,65266,255,0,6,00 00 FF FF FF FF FF FF 
1.753058671951294,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.7631134986877441,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.763685941696167,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.7642536163330078,126720,6,3,3,01 01 FF FF FF FF FF F5 
1.7648015022277832,61184,0,6,1,64 15 10 F0 00 00 25 0E 
1.765334129333496,0,0,6,3,30 FF FF FF F8 FF FF FF 
1.7659103870391846,61184,6,0,6,64 0E 17 06 FF FF FF FF 
1.7730610370635986,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1.7830102443695068,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
1.7835650444030762,61184,255,0,3,64 06 00 7D FF FF FF FF 
1.784172773361206,126720,6,71,3,01 04 FF FF FF FF FF F1 
1.7847466468811035,60928,255,0,6,56 F5 29 04 00 00 02 20 
1.7852768898010254,61184,0,6,1,64 15 10 F0 00 00 25 0E 
1.7858672142028809,126720,6,3,3,01 01 FF FF FF FF FF F5 
1.7864439487457275,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1.7870182991027832,65534,255,6,3,5C 4B 1C 4B 1C FF FF FF 
1.787583351135254,65531,255,6,6,00 05 7D F8 FF FF FF FF 
1.7881731986999512,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
1.7885456085205078,59904,255,71,6,00 EE 00 
