Time,PGN,DA,SA,Priority,Data
5.539029121398926,60928,255,71,6,4D 74 30 04 00 34 02 20 
5.539541006088257,60928,255,6,6,4D 74 30 04 00 0E 00 20 
5.540115118026733,60928,255,3,6,4D 74 30 04 00 03 02 20 
5.568322420120239,60928,255,0,6,56 F5 29 04 00 00 02 20 
5.570497035980225,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
5.570796489715576,59904,255,0,6,00 EE 00 
5.580397367477417,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
5.580937623977661,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.5815956592559814,65266,255,0,6,00 00 FF FF FF FF FF FF 
5.590648412704468,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.600466966629028,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.601006031036377,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.601582288742065,61184,6,0,6,64 0E 03 02 FF FF FF FF 
5.610574007034302,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.611023187637329,60928,255,23,6,0C 6E 24 04 00 13 02 20 
5.6205527782440186,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.621077060699463,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.621723413467407,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
5.622228622436523,65247,255,0,6,7D A0 27 FF FF FF FF FF 
5.622875690460205,60416,255,0,7,20 22 00 05 FF E3 FE 00 
5.630499362945557,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.6404924392700195,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.641065359115601,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.641641855239868,65263,255,0,6,FF FF FF FE FF FF FF FA 
5.65057110786438,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.660490274429321,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.660999774932861,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.670455455780029,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.673670053482056,60160,255,0,7,01 20 1C DD 68 42 DC A0 
5.680495500564575,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.681071996688843,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.681670427322388,65266,255,0,6,00 00 FF FF FF FF FF FF 
5.690538644790649,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.700449466705322,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.700989723205566,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.701566457748413,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
5.71053409576416,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.720496416091919,61443,255,0,3,FF 00 00 FF 44 FF FF FF 
5.7210693359375,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.721644163131714,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
5.722221851348877,65270,255,0,6,FF 00 41 FF 00 FF FF FF 
5.7227702140808105,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
