Time,PGN,DA,SA,Prioirty,Data
1547753403.715009,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547753403.715583,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547753403.716182,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547753403.748464,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753403.75069,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1547753403.751042,59904,255,0,6,00 EE 00 
1547753403.760618,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1547753403.761141,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.76174,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753403.770817,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.780696,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.781268,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.781844,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1547753403.786622,60928,255,23,6,0C 6E 24 04 00 13 02 20 
1547753403.790747,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.800724,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.801324,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.801872,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753403.802471,65247,255,0,6,7D 56 1D FF FF FF FF FF 
1547753403.803023,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1547753403.810752,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.820727,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.821279,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.821848,65263,255,0,6,FF FF FF FE FF FF FF FA 
1547753403.830721,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.840731,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.841304,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.850786,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.853909,60160,255,0,7,01 20 1C DD 68 42 DC A0 
1547753403.860737,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.861311,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.861912,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753403.870788,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.880738,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.881267,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.881861,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
1547753403.890766,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.900742,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.901316,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.901892,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753403.902468,65270,255,0,6,FF 00 4C FF 00 FF FF FF 
1547753403.902997,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
1547753403.910787,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.920749,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1547753403.921319,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.921897,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.930798,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.94075,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.941348,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.950831,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.954001,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
1547753403.960782,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.961375,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.961955,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753403.970806,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.976407,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753403.976958,61184,0,6,1,64 15 10 F0 00 00 BF 0E 
1547753403.977554,0,0,6,3,30 FF FF FF F8 FF FF FF 
1547753403.980782,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753403.981355,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753403.981934,61184,6,0,6,64 0E 17 06 FF FF FF FF 
1547753403.990767,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753403.996261,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547753403.99686,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753403.997452,61184,0,6,1,64 15 10 F0 00 00 BF 0E 
1547753403.998045,65534,255,6,3,5C 7F 1D 7F 1D FF FF FF 
1547753403.998666,65531,255,6,6,00 05 7D F8 FF FF FF FF 
1547753403.999002,59904,255,71,6,00 EE 00 
1547753404.000782,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753404.001395,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753404.001924,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753404.002508,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753404.003113,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753404.003691,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
1547753404.010782,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753404.016405,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753404.016949,61184,0,6,1,64 15 10 F0 00 00 BF 0E 
1547753404.020723,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753404.021344,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753404.021915,65262,255,0,6,4A 43 FF FF FF FF FF FF 
1547753404.030815,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753404.036417,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753404.036993,61184,0,6,1,64 15 10 F0 00 00 BF 0E 
1547753404.037565,65097,255,71,3,FF FF FF FF FF FF FF FF 
1547753404.038142,65091,255,71,3,FF FF FF FF FF FF FF FF 
1547753404.038767,65092,255,71,3,00 00 FF FF 3F FF FF FF 
1547753404.040796,61443,255,0,3,FF 00 00 FF 08 FF FF FF 
1547753404.041366,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753404.0508,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753404.051366,65247,255,0,6,7D 7E 1D FF FF FF FF FF 
1547753404.054106,60160,255,0,7,05 C0 5D 00 00 FF FF FF 
1547753404.056419,126720,6,3,3,01 01 FF FF FF FF FF F5 
