Time , PGN , DA , SA , Prioirty , Data
1547753765.078089 , 60928 , 255 , 71 , 6 , 4D 74 30 04 00 34 02 20 
1547753765.078661 , 60928 , 255 , 6 , 6 , 4D 74 30 04 00 0E 00 20 
1547753765.079234 , 60928 , 255 , 3 , 6 , 4D 74 30 04 00 03 02 20 
1547753765.10369 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547753765.105914 , 61444 , 255 , 0 , 3 , F0 FF 00 00 00 FF FF FF 
1547753765.106287 , 59904 , 255 , 0 , 6 , 00 EE 00 
1547753765.11579 , 61443 , 255 , 0 , 3 , FF 00 00 FF 00 FF FF FF 
1547753765.116361 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.116939 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547753765.12604 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.135892 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.136464 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.137039 , 61184 , 6 , 0 , 6 , 64 0E 03 02 FF FF FF FF 
1547753765.14594 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.15594 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.156515 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.157088 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547753765.15769 , 65247 , 255 , 0 , 6 , 7D FA 1C FF FF FF FF FF 
1547753765.158239 , 60416 , 255 , 0 , 7 , 20 22 00 05 FF E3 FE 00 
1547753765.165934 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.175915 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.176516 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.177066 , 65263 , 255 , 0 , 6 , FF FF FF FE FF FF FF FA 
1547753765.185968 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.19592 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.196517 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.205924 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.209093 , 60160 , 255 , 0 , 7 , 01 20 1C DD 68 42 DC A0 
1547753765.215942 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.216542 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.217117 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547753765.225969 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.235922 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.236481 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.237041 , 61184 , 6 , 0 , 6 , 64 0E 0D 02 FF FF FF FF 
1547753765.245943 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753765.255946 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753765.256521 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753765.257094 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547753765.257669 , 65270 , 255 , 0 , 6 , FF 00 47 FF 00 FF FF FF 
1547753765.258243 , 60160 , 255 , 0 , 7 , 02 0F D5 8D 20 E3 7A 31 
