Time,PGN,DA,SA,Priority,Data
2.678588390350342,60928,255,71,6,4D 74 30 04 00 34 02 20 
2.6790969371795654,60928,255,6,6,4D 74 30 04 00 0E 00 20 
2.6796953678131104,60928,255,3,6,4D 74 30 04 00 03 02 20 
2.706787586212158,60928,255,0,6,56 F5 29 04 00 00 02 20 
2.708984136581421,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
2.7093873023986816,59904,255,0,6,00 EE 00 
2.7189459800720215,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
2.719541311264038,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.7201170921325684,65266,255,0,6,00 00 FF FF FF FF FF FF 
2.729173421859741,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.739010810852051,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.739556074142456,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.740131139755249,61184,6,0,6,64 0E 03 02 FF FF FF FF 
2.7490968704223633,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.7496681213378906,60928,255,23,6,0C 6E 24 04 00 13 02 20 
2.7591185569763184,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.7596914768218994,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.7602663040161133,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
2.760857582092285,65247,255,0,6,7D 32 1C FF FF FF FF FF 
2.761319875717163,60416,255,0,7,20 22 00 05 FF E3 FE 00 
2.7690343856811523,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.7790911197662354,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.7796671390533447,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.7802412509918213,65263,255,0,6,FF FF FF FE FF FF FF FA 
2.7890119552612305,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.799069404602051,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.7996387481689453,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.8090388774871826,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.8122379779815674,60160,255,0,7,01 20 1C DD 68 42 DC A0 
2.819093704223633,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.819689989089966,61184,255,0,3,64 06 00 7D FF FF FF FF 
2.8202648162841797,65266,255,0,6,00 00 FF FF FF FF FF FF 
2.8291187286376953,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
2.839043140411377,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
2.8395841121673584,61184,255,0,3,64 06 00 7D FF FF FF FF 
