Time,PGN,DA,SA,Priority,Data
4.339195013046265,60928,255,71,6,4D 74 30 04 00 34 02 20 
4.339704275131226,60928,255,6,6,4D 74 30 04 00 0E 00 20 
4.340365648269653,60928,255,3,6,4D 74 30 04 00 03 02 20 
4.374934196472168,60928,255,0,6,56 F5 29 04 00 00 02 20 
4.377228498458862,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
4.3775269985198975,59904,255,0,6,00 EE 00 
4.387099981307983,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
4.387603998184204,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.388256072998047,65266,255,0,6,00 00 FF FF FF FF FF FF 
4.397295713424683,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.407233715057373,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.407717227935791,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.408411741256714,61184,6,0,6,64 0E 03 02 FF FF FF FF 
4.4109344482421875,60928,255,23,6,0C 6E 24 04 00 13 02 20 
4.417283535003662,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.427287817001343,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.427781105041504,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.428412199020386,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
4.428931951522827,65247,255,0,6,7D 0A 1D FF FF FF FF FF 
4.429486036300659,60416,255,0,7,20 22 00 05 FF E3 FE 00 
4.437284469604492,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.44725775718689,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.447756052017212,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.448314428329468,65263,255,0,6,FF FF FF FE FF FF FF FA 
4.457286357879639,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.467216730117798,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.467760324478149,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.4773077964782715,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.480435848236084,60160,255,0,7,01 20 1C DD 68 42 DC A0 
4.487246751785278,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
4.48779559135437,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.488465070724487,65266,255,0,6,00 00 FF FF FF FF FF FF 
4.497234106063843,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.507255792617798,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.507762432098389,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.508440971374512,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
4.517312288284302,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.527233123779297,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.527731895446777,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.52832293510437,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
4.52888298034668,65270,255,0,6,FF 00 43 FF 00 FF FF FF 
4.529439687728882,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
4.537329196929932,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.547258377075195,61184,250,0,6,64 01 FF 00 00 FF FF FF 
4.547757387161255,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.548340559005737,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.557332992553711,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.567220687866211,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.567754745483398,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.577332258224487,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.5805323123931885,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
4.587306022644043,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.5877685546875,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.588476896286011,65266,255,0,6,00 00 FF FF FF FF FF FF 
4.597242116928101,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.60051417350769,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.6010422706604,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
4.6016998291015625,0,0,6,3,30 FF FF FF F8 FF FF FF 
4.607283353805542,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.607742071151733,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.6084253787994385,61184,6,0,6,64 0E 17 06 FF FF FF FF 
4.617330074310303,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.620481729507446,126720,6,71,3,01 04 FF FF FF FF FF F1 
4.62095308303833,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.621623277664185,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
4.622071981430054,65534,255,6,3,5C 53 1D 53 1D FF FF FF 
4.622774839401245,65531,255,6,6,00 05 7D F8 FF FF FF FF 
4.623067617416382,59904,255,71,6,00 EE 00 
4.627174377441406,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.62778902053833,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.628321886062622,60928,255,0,6,56 F5 29 04 00 00 02 20 
4.628893852233887,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
4.629442930221558,60928,255,0,6,56 F5 29 04 00 00 02 20 
4.630016803741455,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
4.6373302936553955,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.640580654144287,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.641021728515625,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
4.647305488586426,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.6477673053741455,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.648347854614258,65262,255,0,6,46 3E FF FF FF FF FF FF 
4.657247304916382,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.6604650020599365,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.661009788513184,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
4.661583185195923,65097,255,71,3,FF FF FF FF FF FF FF FF 
4.662184238433838,65091,255,71,3,FF FF FF FF FF FF FF FF 
4.662737846374512,65092,255,71,3,00 00 FF FF 3F FF FF FF 
4.667158365249634,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.667727708816528,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.677286863327026,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.6778857707977295,65247,255,0,6,7D 52 1D FF FF FF FF FF 
4.680515289306641,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.6810853481292725,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
4.6816565990448,60160,255,0,7,05 C0 5D 00 00 FF FF FF 
4.6872639656066895,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
4.687884092330933,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.688363790512085,65266,255,0,6,00 00 FF FF FF FF FF FF 
4.691332101821899,59904,255,23,6,00 EE 00 
4.697283983230591,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.700509071350098,126720,6,3,3,01 01 FF FF FF FF FF F5 
4.701082229614258,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
