Time,PGN,DA,SA,Priority,Data
1547753592.368003,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547753592.368571,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547753592.369166,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547753592.394196,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753592.396395,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1547753592.396791,59904,255,0,6,00 EE 00 
1547753592.406296,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1547753592.406867,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753592.407444,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753592.416495,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753592.426398,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753592.426968,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753592.427545,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1547753592.436422,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753592.439571,60928,255,23,6,0C 6E 24 04 00 13 02 20 
1547753592.446447,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753592.447018,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753592.447595,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753592.448168,65247,255,0,6,7D FA 1C FF FF FF FF FF 
1547753592.448719,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1547753592.456473,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753592.466398,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753592.466994,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753592.467571,65263,255,0,6,FF FF FF FE FF FF FF FA 
1547753592.476435,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753592.486399,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753592.48697,61184,255,0,3,64 06 00 7D FF FF FF FF 
