Time,PGN,DA,SA,Priority,Data
25.17381501197815,60928,255,71,6,4D 74 30 04 00 34 02 20 
25.174394130706787,60928,255,6,6,4D 74 30 04 00 0E 00 20 
25.17471981048584,60928,255,3,6,4D 74 30 04 00 03 02 20 
25.201176166534424,60928,255,0,6,56 F5 29 04 00 00 02 20 
25.203775644302368,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
25.20402216911316,59904,255,0,6,00 EE 00 
25.213878393173218,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.21511483192444,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.215606689453125,65266,255,0,6,00 00 FF FF FF FF FF FF 
25.223504781723022,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
25.23329210281372,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.233773946762085,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.234549522399902,61184,6,0,6,64 0E 03 02 FF FF FF FF 
25.24405527114868,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
25.24610924720764,60928,255,23,6,0C 6E 24 04 00 13 02 20 
25.253974199295044,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.25460720062256,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.255269050598145,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
25.256905555725098,65247,255,0,6,7D 20 1C FF FF FF FF FF 
25.258583068847656,65251,255,0,7,20 1C DD 68 42 DC A0 0F D5 8D 20 E3 7A 31 F1 C0 44 FF FF 04 01 20 4E 00 01 FA C9 FA C0 5D 00 00 FF FF 
25.513492584228516,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.514127731323242,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.51449728012085,65266,255,0,6,00 00 FF FF FF FF FF FF 
25.516489028930664,126720,6,3,3,01 01 FF FF FF FF FF F5 
25.51809048652649,61184,0,6,1,64 15 10 F0 00 00 10 0E 
25.523500680923462,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
25.52696704864502,59904,255,23,6,00 EE 00 
25.533963203430176,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.535600423812866,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.53672695159912,61184,6,0,6,64 0E 21 00 FF FF FF FF 
25.537041902542114,126720,6,3,3,01 01 FF FF FF FF FF F5 
25.53747010231018,61184,0,6,1,64 15 10 F0 00 00 10 0E 
25.537749528884888,65265,255,71,6,FF 00 00 FF FF FF FF FF 
25.53802490234375,61445,255,3,6,FF FF FF FF FF FF FF FF 
25.544116973876953,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
25.547837257385254,65535,255,23,7,22 FF FF 3C FF FF FF FF 
25.554072618484497,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.55475354194641,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.554847478866577,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
25.555115222930908,126720,6,71,3,01 04 FF FF FF FF FF F1 
25.555447578430176,61184,0,6,1,64 15 10 F0 00 00 10 0E 
25.556066513061523,126720,6,3,3,01 01 FF FF FF FF FF F5 
25.556609392166138,60928,255,0,6,56 F5 29 04 00 00 02 20 
25.55725383758545,65271,255,0,6,FF FF FF FF FF FF F6 00 
25.566792726516724,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
25.573322057724,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
25.57379150390625,61184,255,0,3,64 06 00 7D FF FF FF FF 
25.578314065933228,126720,6,3,3,01 01 FF FF FF FF FF F5 
