Time,PGN,DA,SA,Prioirty,Data
1547753658.443668,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547753658.444242,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547753658.444816,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547753658.468594,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753658.47079,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1547753658.471213,59904,255,0,6,00 EE 00 
1547753658.480691,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1547753658.481264,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.481862,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753658.490917,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.50079,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.501365,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.501963,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1547753658.510841,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.520841,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.521414,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.52199,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753658.522564,65247,255,0,6,7D 00 1D FF FF FF FF FF 
1547753658.523138,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1547753658.530815,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.540793,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.541391,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.541965,65263,255,0,6,FF FF FF FE FF FF FF FA 
1547753658.550842,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.560793,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.561392,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.570869,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.573993,60160,255,0,7,01 20 1C DD 68 42 DC A0 
1547753658.580844,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.581443,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.582017,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753658.59087,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.60082,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.601393,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.601966,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
1547753658.610845,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.62082,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.621394,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.621945,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753658.622544,65270,255,0,6,FF 00 45 FF 00 FF FF FF 
1547753658.623117,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
1547753658.630857,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.640821,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1547753658.641394,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.641993,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.650857,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.660846,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.661421,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.670871,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.674072,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
1547753658.680847,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547753658.681447,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.68202,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547753658.690873,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.700846,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.701424,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.701995,61184,6,0,6,64 0E 17 06 FF FF FF FF 
1547753658.705047,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.705596,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.706172,0,0,6,3,30 FF FF FF F8 FF FF FF 
1547753658.710873,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.720822,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.721423,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.721971,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547753658.722547,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547753658.72312,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
1547753658.724933,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547753658.725547,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.726121,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.726658,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547753658.727258,65531,255,6,6,00 05 7D F8 FF FF FF FF 
1547753658.727655,59904,255,71,6,00 EE 00 
1547753658.730859,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547753658.740847,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547753658.741423,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547753658.741998,65262,255,0,6,4C 42 FF FF FF FF FF FF 
1547753658.745049,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547753658.745597,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547753658.750899,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
