Time , PGN , Source Adress , Destionation Address , Prioirty , Data
1547755052.756237 , 60928 , 255 , 71 , 6 , 4D 74 30 04 00 34 02 20 
1547755052.75683 , 60928 , 255 , 6 , 6 , 4D 74 30 04 00 0E 00 20 
1547755052.757407 , 60928 , 255 , 3 , 6 , 4D 74 30 04 00 03 02 20 
1547755052.786342 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547755052.788567 , 61444 , 255 , 0 , 3 , F0 FF 00 00 00 FF FF FF 
1547755052.788939 , 59904 , 255 , 0 , 6 , 00 EE 00 
1547755052.798438 , 61443 , 255 , 0 , 3 , FF 00 00 FF 00 FF FF FF 
1547755052.79901 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.799611 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755052.808657 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.818552 , 61443 , 255 , 0 , 3 , FF 00 00 FF 07 FF FF FF 
1547755052.819126 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.819699 , 61184 , 6 , 0 , 6 , 64 0E 03 02 FF FF FF FF 
1547755052.828572 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.838567 , 61443 , 255 , 0 , 3 , FF 00 00 FF 07 FF FF FF 
1547755052.839141 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.839714 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755052.840291 , 65247 , 255 , 0 , 6 , 7D 08 1D FF FF FF FF FF 
1547755052.840863 , 60416 , 255 , 0 , 7 , 20 22 00 05 FF E3 FE 00 
1547755052.848587 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.858557 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.859131 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.85973 , 65263 , 255 , 0 , 6 , FF FF FF FE FF FF FF FA 
1547755052.868552 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.878523 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.879096 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.888593 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.891715 , 60160 , 255 , 0 , 7 , 01 20 1C DD 68 42 DC A0 
1547755052.898562 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.899136 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.899734 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755052.908557 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.918502 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.919076 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.919674 , 61184 , 6 , 0 , 6 , 64 0E 0D 02 FF FF FF FF 
1547755052.928546 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.938492 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.939066 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.939638 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755052.940215 , 65270 , 255 , 0 , 6 , FF 00 47 FF 00 FF FF FF 
1547755052.940763 , 60160 , 255 , 0 , 7 , 02 0F D5 8D 20 E3 7A 31 
1547755052.948537 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.958507 , 61184 , 250 , 0 , 6 , 64 01 FF 00 00 FF FF FF 
1547755052.95908 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.959654 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.968552 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.978497 , 61443 , 255 , 0 , 3 , FF 00 00 FF 07 FF FF FF 
1547755052.979071 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.988542 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755052.991715 , 60160 , 255 , 0 , 7 , 03 F1 C0 44 FF FF 04 01 
1547755052.998512 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755052.999086 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755052.999659 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755053.008507 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755053.017452 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755053.018025 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755053.018599 , 0 , 0 , 6 , 3 , 30 FF FF FF F8 FF FF FF 
1547755053.019176 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755053.019749 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755053.020325 , 61184 , 6 , 0 , 6 , 64 0E 17 06 FF FF FF FF 
1547755053.028497 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755053.037342 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547755053.037964 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755053.038516 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755053.039091 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755053.039663 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755053.040215 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547755053.040787 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547755053.041361 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755053.041963 , 65531 , 255 , 6 , 6 , 00 05 7D F8 FF FF FF FF 
1547755053.042514 , 60160 , 255 , 0 , 7 , 04 20 4E 00 01 FA C9 FA 
1547755053.042912 , 59904 , 255 , 71 , 6 , 00 EE 00 
1547755053.048483 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755053.057457 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755053.058006 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755053.058579 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755053.059156 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755053.059729 , 65262 , 255 , 0 , 6 , 55 42 FF FF FF FF FF FF 
1547755053.068502 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755053.077447 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755053.077995 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755053.078569 , 61443 , 255 , 0 , 3 , FF 00 00 FF 07 FF FF FF 
1547755053.079146 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755053.079719 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547755053.08032 , 65091 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547755053.080919 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
