Time , PGN , Source Adress , Destionation Address , Prioirty , Data
1547755124.669433 , 60928 , 255 , 71 , 6 , 4D 74 30 04 00 34 02 20 
1547755124.669999 , 60928 , 255 , 6 , 6 , 4D 74 30 04 00 0E 00 20 
1547755124.670574 , 60928 , 255 , 3 , 6 , 4D 74 30 04 00 03 02 20 
1547755124.694993 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547755124.697187 , 61444 , 255 , 0 , 3 , F0 FF 00 00 00 FF FF FF 
1547755124.69759 , 59904 , 255 , 0 , 6 , 00 EE 00 
1547755124.707089 , 61443 , 255 , 0 , 3 , FF 00 00 FF 00 FF FF FF 
1547755124.707658 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.708231 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755124.717307 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.727203 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.727774 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.728349 , 61184 , 6 , 0 , 6 , 64 0E 03 02 FF FF FF FF 
1547755124.737218 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.747219 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.747789 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.748361 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755124.74895 , 65247 , 255 , 0 , 6 , 7D FE 1C FF FF FF FF FF 
1547755124.749517 , 60416 , 255 , 0 , 7 , 20 22 00 05 FF E3 FE 00 
1547755124.757211 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.767184 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.767754 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.768328 , 65263 , 255 , 0 , 6 , FF FF FF FE FF FF FF FA 
1547755124.777203 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.787173 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.787742 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.797239 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.800335 , 60160 , 255 , 0 , 7 , 01 20 1C DD 68 42 DC A0 
1547755124.807238 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.807782 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.808358 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755124.817233 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.82716 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.827756 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.828308 , 61184 , 6 , 0 , 6 , 64 0E 0D 02 FF FF FF FF 
1547755124.837225 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.847148 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.847723 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.848293 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755124.848865 , 65270 , 255 , 0 , 6 , FF 00 44 FF 00 FF FF FF 
1547755124.849422 , 60160 , 255 , 0 , 7 , 02 0F D5 8D 20 E3 7A 31 
1547755124.85717 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.867135 , 61184 , 250 , 0 , 6 , 64 01 FF 00 00 FF FF FF 
1547755124.867709 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.868285 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.877163 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.887125 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.887723 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.897196 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.900371 , 60160 , 255 , 0 , 7 , 03 F1 C0 44 FF FF 04 01 
1547755124.907142 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.907739 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.908313 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755124.917184 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.927104 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.927679 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.928254 , 61184 , 6 , 0 , 6 , 64 0E 17 06 FF FF FF FF 
1547755124.930706 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755124.931251 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755124.931825 , 0 , 0 , 6 , 3 , 30 FF FF FF F8 FF FF FF 
1547755124.937174 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.947094 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.947693 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.948244 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547755124.948817 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547755124.949396 , 60160 , 255 , 0 , 7 , 04 20 4E 00 01 FA C9 FA 
1547755124.950573 , 126720 , 6 , 71 , 3 , 01 04 FF FF FF FF FF F1 
1547755124.951217 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755124.951791 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755124.952299 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547755124.952878 , 65531 , 255 , 6 , 6 , 00 05 7D F8 FF FF FF FF 
1547755124.9533 , 59904 , 255 , 71 , 6 , 00 EE 00 
1547755124.95712 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.967087 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755124.967684 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.968259 , 65262 , 255 , 0 , 6 , 56 42 FF FF FF FF FF FF 
1547755124.970687 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755124.971232 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755124.977155 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.987075 , 61443 , 255 , 0 , 3 , FF 00 00 FF 07 FF FF FF 
1547755124.987649 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755124.990677 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755124.991222 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 A9 0E 
1547755124.991796 , 65097 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547755124.992396 , 65091 , 255 , 71 , 3 , FF FF FF FF FF FF FF FF 
1547755124.992997 , 65092 , 255 , 71 , 3 , 00 00 FF FF 3F FF FF FF 
1547755124.993576 , 65534 , 255 , 6 , 3 , 5C 53 1D 53 1D FF FF FF 
1547755124.997101 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755124.997655 , 65247 , 255 , 0 , 6 , 7D 26 1D FF FF FF FF FF 
1547755125.000593 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547755125.001168 , 60160 , 255 , 0 , 7 , 05 C0 5D 00 00 FF FF FF 
1547755125.007141 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755125.007687 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755125.008264 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547755125.010667 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755125.011213 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755125.017135 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755125.027057 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755125.027655 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755125.028229 , 61184 , 6 , 0 , 6 , 64 0E 21 00 FF FF FF FF 
1547755125.030657 , 126720 , 6 , 3 , 3 , 01 01 FF FF FF FF FF F5 
1547755125.031203 , 61184 , 0 , 6 , 1 , 64 15 10 F0 00 00 93 0E 
1547755125.031751 , 65534 , 255 , 6 , 3 , 5C 27 1D 27 1D FF FF FF 
1547755125.032328 , 65265 , 255 , 71 , 6 , FF 00 00 FF FF FF FF FF 
1547755125.032927 , 61445 , 255 , 3 , 6 , FF FF FF FF FF FF FF FF 
1547755125.03708 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547755125.047002 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547755125.047645 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547755125.04822 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
