Time,PGN,DA,SA,Prioirty,Data
1547754962.695282,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547754962.695881,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547754962.696458,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547754962.722425,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547754962.724574,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1547754962.725017,59904,255,0,6,00 EE 00 
1547754962.734518,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1547754962.735087,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.735664,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547754962.744711,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.754632,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.755207,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.755775,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1547754962.764604,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.774643,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.775219,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.775792,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547754962.776393,65247,255,0,6,7D F8 1C FF FF FF FF FF 
1547754962.77694,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1547754962.784621,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.794587,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.795185,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.795741,65263,255,0,6,FF FF FF FE FF FF FF FA 
1547754962.804588,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.81458,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.815148,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.824625,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.827745,60160,255,0,7,01 20 1C DD 68 42 DC A0 
1547754962.834619,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.835189,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.835788,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547754962.844584,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.854557,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.855153,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.855727,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
1547754962.864627,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.874573,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.875142,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.875717,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547754962.876292,65270,255,0,6,FF 00 47 FF 00 FF FF FF 
1547754962.87684,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
1547754962.884572,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.894564,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1547754962.895135,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.895707,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.904563,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.914552,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.915148,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754962.924598,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754962.927725,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
1547754962.934559,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754962.935131,61184,255,0,3,64 06 00 7D FF FF FF FF 
