Time,PGN,DA,SA,Prioirty,Data
1547754033.605646,60928,255,71,6,4D 74 30 04 00 34 02 20 
1547754033.606243,60928,255,6,6,4D 74 30 04 00 0E 00 20 
1547754033.60679,60928,255,3,6,4D 74 30 04 00 03 02 20 
1547754033.630519,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547754033.632742,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
1547754033.633118,59904,255,0,6,00 EE 00 
1547754033.642645,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
1547754033.643245,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.643793,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547754033.652845,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.66271,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.663276,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.663849,61184,6,0,6,64 0E 03 02 FF FF FF FF 
1547754033.672728,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.682767,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.68334,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.683913,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547754033.684489,65247,255,0,6,7D 04 1D FF FF FF FF FF 
1547754033.685063,60416,255,0,7,20 22 00 05 FF E3 FE 00 
1547754033.692749,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.702717,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.703315,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.703888,65263,255,0,6,FF FF FF FE FF FF FF FA 
1547754033.71275,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.722719,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.723292,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.732768,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.735918,60160,255,0,7,01 20 1C DD 68 42 DC A0 
1547754033.742734,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.743329,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.743903,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547754033.752757,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.762733,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.763306,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.763878,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
1547754033.772783,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.782733,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.783306,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.783879,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547754033.784457,65270,255,0,6,FF 00 46 FF 00 FF FF FF 
1547754033.785004,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
1547754033.792766,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.802734,61184,250,0,6,64 01 FF 00 00 FF FF FF 
1547754033.803308,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.80388,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.812767,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.822736,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.823334,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.832785,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.835961,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
1547754033.84276,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.843334,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.843933,65266,255,0,6,00 00 FF FF FF FF FF FF 
1547754033.852787,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.862737,61443,255,0,3,FF 00 00 FF 07 FF FF FF 
1547754033.863335,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.863908,61184,6,0,6,64 0E 17 06 FF FF FF FF 
1547754033.867013,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754033.867559,61184,0,6,1,64 15 10 F0 00 00 A9 0E 
1547754033.868134,0,0,6,3,30 FF FF FF F8 FF FF FF 
1547754033.872789,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
1547754033.882738,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
1547754033.88331,61184,255,0,3,64 06 00 7D FF FF FF FF 
1547754033.883883,60928,255,0,6,56 F5 29 04 00 00 02 20 
1547754033.88446,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
1547754033.885034,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
1547754033.88692,126720,6,71,3,01 04 FF FF FF FF FF F1 
1547754033.887536,126720,6,3,3,01 01 FF FF FF FF FF F5 
1547754033.888084,61184,0,6,1,64 15 10 F0 00 00 93 0E 
1547754033.888644,65534,255,6,3,5C 27 1D 27 1D FF FF FF 
1547754033.889219,65531,255,6,6,00 05 7D F8 FF FF FF FF 
1547754033.889617,59904,255,71,6,00 EE 00 
1547754033.892772,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
