Time , PGN , Source Adress , Destionation Address , Prioirty , Data
1547753840.677058 , 60928 , 255 , 71 , 6 , 4D 74 30 04 00 34 02 20 
1547753840.677649 , 60928 , 255 , 6 , 6 , 4D 74 30 04 00 0E 00 20 
1547753840.678229 , 60928 , 255 , 3 , 6 , 4D 74 30 04 00 03 02 20 
1547753840.705279 , 60928 , 255 , 0 , 6 , 56 F5 29 04 00 00 02 20 
1547753840.707504 , 61444 , 255 , 0 , 3 , F0 FF 00 00 00 FF FF FF 
1547753840.707886 , 59904 , 255 , 0 , 6 , 00 EE 00 
1547753840.717377 , 61443 , 255 , 0 , 3 , FF 00 00 FF 00 FF FF FF 
1547753840.717954 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753840.71855 , 65266 , 255 , 0 , 6 , 00 00 FF FF FF FF FF FF 
1547753840.727605 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753840.737478 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753840.738054 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753840.738651 , 61184 , 6 , 0 , 6 , 64 0E 03 02 FF FF FF FF 
1547753840.747528 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753840.757529 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753840.758106 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753840.758678 , 61184 , 255 , 0 , 6 , 64 10 0B 0B 00 00 00 7D 
1547753840.759279 , 65247 , 255 , 0 , 6 , 7D F8 1C FF FF FF FF FF 
1547753840.759854 , 60416 , 255 , 0 , 7 , 20 22 00 05 FF E3 FE 00 
1547753840.76754 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753840.777506 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753840.778081 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
1547753840.778654 , 65263 , 255 , 0 , 6 , FF FF FF FE FF FF FF FA 
1547753840.787514 , 61444 , 255 , 0 , 3 , F0 FF 7D 00 00 FF FF FF 
1547753840.797506 , 61443 , 255 , 0 , 3 , FF 00 00 FF 06 FF FF FF 
1547753840.798107 , 61184 , 255 , 0 , 3 , 64 06 00 7D FF FF FF FF 
