Time,PGN,DA,SA,Priority,Data
8.320236444473267,60928,255,0,6,FF FF FF FF 00 FF FE 80 
15.015843868255615,60928,255,71,6,4D 74 30 04 00 34 02 20 
15.035880327224731,60928,255,6,6,4D 74 30 04 00 0E 00 20 
15.052801847457886,60928,255,3,6,4D 74 30 04 00 03 02 20 
15.065890550613403,60928,255,0,6,56 F5 29 04 00 00 02 20 
15.08092713356018,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
15.094667673110962,59904,255,0,6,00 EE 00 
15.095212459564209,60928,255,0,6,FF FF FF FF 00 FF FE 80 
15.111026763916016,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
15.143014669418335,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.159012794494629,65266,255,0,6,00 00 FF FF FF FF FF FF 
15.175790786743164,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.189338445663452,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.206064701080322,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.221941709518433,61184,6,0,6,64 0E 03 02 FF FF FF FF 
15.24088740348816,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.251942157745361,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.266927003860474,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.28793978691101,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
15.320910215377808,65247,255,0,6,7D FC 1C FF FF FF FF FF 
15.332002878189087,60416,255,0,7,20 22 00 05 FF E3 FE 00 
15.345925092697144,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.360973834991455,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.377982378005981,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.39496397972107,65263,255,0,6,FF FF FF FE FF FF FF FA 
15.407906532287598,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.424973726272583,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.440062999725342,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.45746397972107,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.474434614181519,60160,255,0,7,01 20 1C DD 68 42 DC A0 
15.488222122192383,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.50231146812439,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.521292448043823,65266,255,0,6,00 00 FF FF FF FF FF FF 
15.534254312515259,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
15.552241563796997,61443,255,0,3,FF 00 00 FF 06 FF FF FF 
15.565192461013794,61184,255,0,3,64 06 00 7D FF FF FF FF 
15.580212831497192,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
