time,pgn,destination,source,priority,data
2.261623,FFFF,0,0,0, F0FF000000FFFFFF
2.272617,FFFF,0,0,0, FF0000FF00FFFFFF
2.306748,FFFF,0,0,0, 6406007DFFFFFFFF
2.317757,FFFF,0,0,0, 0000FFFFFFFFFFFF
2.330814,FFFF,0,0,0, F0FF7D0000FFFFFF
2.34788,FFFF,0,0,0, FF0000FF0BFFFFFF
2.36494,FFFF,0,0,0, 6406007DFFFFFFFF
2.377952,FFFF,0,0,0, F0FF7D0000FFFFFF
2.398999,FFFF,0,0,0, FF0000FF0BFFFFFF
2.415079,FFFF,0,0,0, 6406007DFFFFFFFF
2.450069,FFFF,0,0,0, 64100B0B0000007D
2.459064,FFFF,0,0,0, 7DC81DFFFFFFFFFF
2.473066,FFFF,0,0,0, F0FF7D0000FFFFFF
2.496068,FFFF,0,0,0, FF0000FF0BFFFFFF
2.505082,FFFF,0,0,0, 6406007DFFFFFFFF
2.522053,FFFF,0,0,0, FFFFFFFEFFFFFFFA
2.542199,FFFF,0,0,0, F0FF7D0000FFFFFF
2.569304,FFFF,0,0,0, FF0000FF0BFFFFFF
2.58329,FFFF,0,0,0, 6406007DFFFFFFFF
2.600365,FFFF,0,0,0, F0FF7D0000FFFFFF
2.61635,FFFF,0,0,0, FF0000FF0BFFFFFF
2.634563,FFFF,0,0,0, 6406007DFFFFFFFF
2.650639,FFFF,0,0,0, 0000FFFFFFFFFFFF
2.663623,FFFF,0,0,0, F0FF7D0000FFFFFF
2.684645,FFFF,0,0,0, FF0000FF0BFFFFFF
2.694651,FFFF,0,0,0, 6406007DFFFFFFFF
2.710754,FFFF,0,0,0, F0FF7D0000FFFFFF
2.732742,FFFF,0,0,0, FF0000FF0BFFFFFF
2.743736,FFFF,0,0,0, 6406007DFFFFFFFF
2.75674,FFFF,0,0,0, 64100B0B0000007D
2.790031,FFFF,0,0,0, FF003FFF00FFFFFF
2.806091,FFFF,0,0,0, F0FF7D0000FFFFFF
2.828124,FFFF,0,0,0, 6406007DFFFFFFFF
2.845114,FFFF,0,0,0, FF0000FF0BFFFFFF
2.861105,FFFF,0,0,0, F0FF7D0000FFFFFF
2.877096,FFFF,0,0,0, FF0000FF0BFFFFFF
2.894086,FFFF,0,0,0, 6406007DFFFFFFFF
2.913075,FFFF,0,0,0, F0FF7D0000FFFFFF
2.930065,FFFF,0,0,0, FF0000FF0BFFFFFF
2.948055,FFFF,0,0,0, 6406007DFFFFFFFF
2.967044,FFFF,0,0,0, 0000FFFFFFFFFFFF
2.985034,FFFF,0,0,0, F0FF7D0000FFFFFF
3.003023,FFFF,0,0,0, FF0000FF0BFFFFFF
3.041066,FFFF,0,0,0, 6406007DFFFFFFFF
3.083098,FFFF,0,0,0, F0FF7D0000FFFFFF
3.106086,FFFF,0,0,0, FF0000FF0BFFFFFF
3.128072,FFFF,0,0,0, 6406007DFFFFFFFF
3.147074,FFFF,0,0,0, 5C031E031EFFFFFF
3.168067,FFFF,0,0,0, 64100B0B0000007D
3.18805,FFFF,0,0,0, 00057DF8FFFFFFFF
3.208044,FFFF,0,0,0, F0FF7D0000FFFFFF
3.229027,FFFF,0,0,0, FF0000FF0BFFFFFF
3.250003,FFFF,0,0,0, 6406007DFFFFFFFF
3.285994,FFFF,0,0,0, 393AFFFFFFFFFFFF
3.306986,FFFF,0,0,0, F0FF7D0000FFFFFF
3.332954,FFFF,0,0,0, FF0000FF0BFFFFFF
3.353961,FFFF,0,0,0, 6406007DFFFFFFFF
3.375945,FFFF,0,0,0, FFFFFFFFFFFFFFFF
3.397929,FFFF,0,0,0, FFFFFFFFFFFFFFFF
3.419917,FFFF,0,0,0, 0000FFFF3FFFFFFF
3.442892,FFFF,0,0,0, F0FF7D0000FFFFFF
3.464891,FFFF,0,0,0, 7D021EFFFFFFFFFF
