Time,PGN,DA,SA,Priority,Data
3.9097402095794678,60928,255,71,6,4D 74 30 04 00 34 02 20 
3.9102060794830322,60928,255,6,6,4D 74 30 04 00 0E 00 20 
3.910886526107788,60928,255,3,6,4D 74 30 04 00 03 02 20 
3.9377834796905518,60928,255,0,6,56 F5 29 04 00 00 02 20 
3.9400501251220703,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
3.940382957458496,59904,255,0,6,00 EE 00 
3.9499552249908447,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
3.9504334926605225,61184,255,0,3,64 06 00 7D FF FF FF FF 
3.951087236404419,65266,255,0,6,00 00 FF FF FF FF FF FF 
3.960139513015747,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
3.970006227493286,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
3.970519781112671,61184,255,0,3,64 06 00 7D FF FF FF FF 
3.9710707664489746,61184,6,0,6,64 0E 03 02 FF FF FF FF 
3.98006010055542,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
3.9809327125549316,60928,255,23,6,0C 6E 24 04 00 13 02 20 
3.9900825023651123,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
3.9905893802642822,61184,255,0,3,64 06 00 7D FF FF FF FF 
3.99122953414917,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
3.9917538166046143,65247,255,0,6,7D 3C 1C FF FF FF FF FF 
3.9923787117004395,60416,255,0,7,20 22 00 05 FF E3 FE 00 
4.000006675720215,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.010000467300415,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
4.010599613189697,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.011172533035278,65263,255,0,6,FF FF FF FE FF FF FF FA 
4.020055294036865,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.030001401901245,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
4.030570983886719,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.040016174316406,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.0432047843933105,60160,255,0,7,01 20 1C DD 68 42 DC A0 
4.050084114074707,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
4.0505805015563965,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.051229000091553,65266,255,0,6,00 00 FF FF FF FF FF FF 
4.060053586959839,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
4.0699968338012695,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
4.070508241653442,61184,255,0,3,64 06 00 7D FF FF FF FF 
4.071101188659668,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
