Time,PGN,DA,SA,Priority,Data
5.781065225601196,60928,255,71,6,4D 74 30 04 00 34 02 20 
5.78154444694519,60928,255,6,6,4D 74 30 04 00 0E 00 20 
5.782221078872681,60928,255,3,6,4D 74 30 04 00 03 02 20 
5.811105251312256,60928,255,0,6,56 F5 29 04 00 00 02 20 
5.81324577331543,61444,255,0,3,F0 FF 00 00 00 FF FF FF 
5.813578367233276,59904,255,0,6,00 EE 00 
5.8232102394104,61443,255,0,3,FF 00 00 FF 00 FF FF FF 
5.823731422424316,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.824313640594482,65266,255,0,6,00 00 FF FF FF FF FF FF 
5.833426475524902,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.843260049819946,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
5.843799591064453,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.844393253326416,61184,6,0,6,64 0E 03 02 FF FF FF FF 
5.85224175453186,60928,255,23,6,0C 6E 24 04 00 13 02 20 
5.853335857391357,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.863338470458984,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
5.8638694286346436,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.864488840103149,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
5.865018129348755,65247,255,0,6,7D 20 1C FF FF FF FF FF 
5.865662336349487,60416,255,0,7,20 22 00 05 FF E3 FE 00 
5.873294115066528,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.883307933807373,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
5.883790016174316,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.884442567825317,65263,255,0,6,FF FF FF FE FF FF FF FA 
5.893317699432373,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.903268098831177,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
5.903749942779541,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.91328501701355,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.916411638259888,60160,255,0,7,01 20 1C DD 68 42 DC A0 
5.9232847690582275,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
5.9238600730896,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.92445707321167,65266,255,0,6,00 00 FF FF FF FF FF FF 
5.933285713195801,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.943233251571655,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
5.943795442581177,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.944444179534912,61184,6,0,6,64 0E 0D 02 FF FF FF FF 
5.95332407951355,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.963281154632568,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
5.963804006576538,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.964428901672363,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
5.965006351470947,65270,255,0,6,FF 00 40 FF 00 FF FF FF 
5.9655539989471436,60160,255,0,7,02 0F D5 8D 20 E3 7A 31 
5.973283290863037,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
5.9832563400268555,61184,250,0,6,64 01 FF 00 00 FF FF FF 
5.983858823776245,61184,255,0,3,64 06 00 7D FF FF FF FF 
5.984431028366089,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
5.993308067321777,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.003233432769775,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.003798484802246,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.0133044719696045,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.0165088176727295,60160,255,0,7,03 F1 C0 44 FF FF 04 01 
6.023303508758545,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.02388072013855,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.02445125579834,65266,255,0,6,00 00 FF FF FF FF FF FF 
6.033273458480835,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.042278528213501,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.042813062667847,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.043452501296997,0,0,6,3,30 FF FF FF F8 FF FF FF 
6.044029235839844,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.0446271896362305,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
6.045206546783447,61184,6,0,6,64 0E 17 06 FF FF FF FF 
6.053329229354858,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.062171697616577,126720,6,71,3,01 04 FF FF FF FF FF F1 
6.062774181365967,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.063309669494629,61184,0,6,1,64 15 10 F0 00 00 3B 0E 
6.063880205154419,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.064454555511475,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
6.065020561218262,65534,255,6,3,5C 77 1C 77 1C FF FF FF 
6.065638542175293,60928,255,0,6,56 F5 29 04 00 00 02 20 
6.066171884536743,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
6.066749811172485,65531,255,6,6,00 05 7D F8 FF FF FF FF 
6.067365884780884,60160,255,0,7,04 20 4E 00 01 FA C9 FA 
6.067699909210205,59904,255,71,6,00 EE 00 
6.0732362270355225,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.08228611946106,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.0829017162323,61184,0,6,1,64 15 10 F0 00 00 3B 0E 
6.083473443984985,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.084097385406494,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.084600210189819,65262,255,0,6,4C 3E FF FF FF FF FF FF 
6.093299150466919,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.10228705406189,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.102818727493286,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.103415012359619,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.104042291641235,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.104709148406982,65097,255,71,3,FF FF FF FF FF FF FF FF 
6.105198860168457,65091,255,71,3,FF FF FF FF FF FF FF FF 
6.105875730514526,65092,255,71,3,00 00 FF FF 3F FF FF FF 
6.106398582458496,65534,255,6,3,5C 4B 1C 4B 1C FF FF FF 
6.113329887390137,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.113903045654297,65247,255,0,6,7D 4A 1C FF FF FF FF FF 
6.11668062210083,60928,255,0,6,56 F5 29 04 00 00 02 20 
6.117265224456787,60160,255,0,7,05 C0 5D 00 00 FF FF FF 
6.122355222702026,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.122847318649292,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.1235010623931885,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.12401556968689,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.124585151672363,65266,255,0,6,00 00 FF FF FF FF FF FF 
6.132770776748657,59904,255,23,6,00 EE 00 
6.133368015289307,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.1423444747924805,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.142895221710205,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.143491268157959,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.144068717956543,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.144642353057861,61184,6,0,6,64 0E 21 00 FF FF FF FF 
6.1452178955078125,65265,255,71,6,FF 00 00 FF FF FF FF FF 
6.145760536193848,61445,255,3,6,FF FF FF FF FF FF FF FF 
6.152800559997559,65535,255,23,7,22 FF FF 3C FF FF FF FF 
6.153380870819092,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.162177085876465,126720,6,71,3,01 04 FF FF FF FF FF F1 
6.162765741348267,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.163337230682373,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.163902759552002,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.16454553604126,61443,255,0,3,FF 00 00 FF 02 FF FF FF 
6.165124416351318,61184,255,0,6,64 10 0B 0B 00 00 00 7D 
6.165697336196899,60928,255,0,6,56 F5 29 04 00 00 02 20 
6.166270732879639,65271,255,0,6,FF FF FF FF FF FF EC 00 
6.1732542514801025,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.182274103164673,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.182899236679077,61184,0,6,1,64 15 10 F0 00 00 3B 0E 
6.183472156524658,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.184048414230347,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.184645652770996,65097,255,71,3,FF FF FF FF FF FF FF FF 
6.185224294662476,65091,255,71,3,FF FF FF FF FF FF FF FF 
6.185821533203125,65092,255,71,3,00 00 FF FF 3F FF FF FF 
6.186351537704468,65534,255,6,3,5C 77 1C 77 1C FF FF FF 
6.193257808685303,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.202328205108643,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.202896356582642,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.203472137451172,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.204046726226807,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.213320732116699,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.215996503829956,60928,255,71,6,4D 74 30 04 00 34 02 20 
6.216594934463501,60928,255,6,6,4D 74 30 04 00 0E 00 20 
6.217148303985596,60928,255,3,6,4D 74 30 04 00 03 02 20 
6.2222747802734375,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.222780227661133,61184,0,6,1,64 15 10 F0 00 00 25 0E 
6.223372936248779,61443,255,0,3,FF 00 00 FF 01 FF FF FF 
6.223969459533691,61184,255,0,3,64 06 00 7D FF FF FF FF 
6.224540710449219,65534,255,6,3,5C 4B 1C 4B 1C FF FF FF 
6.2251198291778564,65265,255,71,6,FF 00 00 FF FF FF FF FF 
6.22569465637207,65266,255,0,6,00 00 FF FF FF FF FF FF 
6.226256847381592,61445,255,3,6,FF FF FF FF FF FF FF FF 
6.233229875564575,61444,255,0,3,F0 FF 7D 00 00 FF FF FF 
6.242256164550781,126720,6,3,3,01 01 FF FF FF FF FF F5 
6.2428224086761475,61184,0,6,1,64 15 10 F0 00 00 25 0E 
