,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,32.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,34.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,35.0,59904,6,0,255,00 EE 00 ,Unknown
6,44.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,45.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,46.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,55.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,65.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
11,65.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,66.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,71.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
14,75.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
15,85.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
16,85.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
17,86.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
18,86.0,65247,6,0,255,7D 3C 1C FF FF FF FF FF ,Unknown
19,87.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
20,95.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
21,105.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
22,105.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
23,106.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
24,115.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
25,124.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
26,125.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
27,135.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
28,138.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
29,145.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
30,145.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
31,146.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
32,155.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
33,164.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
34,165.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
35,166.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
36,175.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
37,185.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
38,185.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
39,186.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
40,186.0,65270,6,0,255,FF 00 42 FF 00 FF FF FF ,Unknown
41,187.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
42,194.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
43,205.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
44,205.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
45,206.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
46,215.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
47,224.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
48,225.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
49,235.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
50,238.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
51,244.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
52,245.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
53,246.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
54,255.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
55,261.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
56,262.0,61184,1,6,0,64 15 10 F0 00 00 3B 0E ,Unknown
57,262.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
58,264.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
59,265.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
60,266.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
61,275.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
62,281.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
63,282.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
64,282.0,61184,1,6,0,64 15 10 F0 00 00 3B 0E ,Unknown
65,283.0,65534,3,6,255,5C 77 1C 77 1C FF FF FF ,Unknown
66,283.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
67,284.0,59904,6,71,255,00 EE 00 ,Unknown
68,284.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
69,285.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
70,286.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
71,286.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
72,287.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
73,287.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
74,294.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
75,301.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
76,302.0,61184,1,6,0,64 15 10 F0 00 00 3B 0E ,Unknown
77,305.0,61443,3,0,255,FF 00 00 FF 02 FF FF FF ,Unknown
