,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,25.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,28.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,30.0,59904,6,0,255,00 EE 00 ,Unknown
6,38.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,38.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,38.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,48.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,57.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
11,58.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,58.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,67.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
14,80.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
15,80.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
16,81.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
17,81.0,65247,6,0,255,7D 20 1C FF FF FF FF FF ,Unknown
18,81.0,65251,7,0,255,20 1C DD 68 42 DC A0 0F D5 8D 20 E3 7A 31 F1 ,Unknown
19,339.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
20,341.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
21,341.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
22,342.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
23,342.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
24,351.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
25,357.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
26,358.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
27,358.0,61184,6,0,6,64 0E 21 00 FF FF FF FF ,Unknown
28,363.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
29,364.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
30,365.0,65265,6,71,255,FF 00 00 FF FF FF FF FF ,Unknown
31,365.0,61445,6,3,255,FF FF FF FF FF FF FF FF ,Unknown
32,368.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
33,380.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
34,381.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
35,382.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
36,382.0,65271,6,0,255,FF FF FF FF FF FF 9B 00 ,Unknown
37,383.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
38,386.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
39,389.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
40,389.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
41,398.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
42,398.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
43,404.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
44,405.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
45,406.0,65097,3,71,255,FF FF FF FF FF FF FF FF ,Unknown
46,406.0,65091,3,71,255,FF FF FF FF FF FF FF FF ,Unknown
47,406.0,65092,3,71,255,00 00 FF FF 3F FF FF FF ,Unknown
48,407.0,65534,3,6,255,5C 20 1C 20 1C FF FF FF ,Unknown
49,408.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
50,418.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
51,418.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
52,422.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
53,422.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
54,428.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
55,430.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
56,432.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
57,432.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
58,438.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
59,439.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
60,439.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
61,441.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
62,442.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
63,442.0,65265,6,71,255,FF 00 00 FF FF FF FF FF ,Unknown
64,444.0,61445,6,3,255,FF FF FF FF FF FF FF FF ,Unknown
65,449.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
66,457.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
67,458.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
68,458.0,61184,6,0,6,64 0E 2B 00 FF FF FF FF ,Unknown
69,462.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
70,463.0,61184,1,6,0,64 15 10 F0 00 00 10 0E ,Unknown
71,468.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
72,480.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
73,482.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
74,483.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
75,483.0,65237,6,0,255,FF FF FC FF FF FF FF FF ,Unknown
76,489.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
77,489.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
