,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,36.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,38.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,38.0,59904,6,0,255,00 EE 00 ,Unknown
6,48.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,48.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,49.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,58.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,68.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
11,69.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,69.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,72.0,60928,6,23,255,0C 6E 24 04 00 13 02 20 ,Unknown
14,78.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
15,88.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
16,89.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
17,89.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
18,90.0,65247,6,0,255,7D 0A 1D FF FF FF FF FF ,Unknown
19,90.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
20,98.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
21,108.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
22,109.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
23,109.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
24,118.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
25,128.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
26,129.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
27,138.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
28,141.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
29,148.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
30,149.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
31,149.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
32,158.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
33,168.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
34,169.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
35,169.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
36,178.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
37,188.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
38,189.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
39,189.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
40,190.0,65270,6,0,255,FF 00 43 FF 00 FF FF FF ,Unknown
41,190.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
42,198.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
43,208.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
44,209.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
45,209.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
46,218.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
47,228.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
48,229.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
49,238.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
50,241.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
51,248.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
52,249.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
53,249.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
54,258.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
55,261.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
56,262.0,61184,1,6,0,64 15 10 F0 00 00 A9 0E ,Unknown
57,263.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
58,268.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
59,269.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
60,269.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
61,278.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
62,281.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
63,282.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
64,282.0,61184,1,6,0,64 15 10 F0 00 00 A9 0E ,Unknown
65,283.0,65534,3,6,255,5C 53 1D 53 1D FF FF FF ,Unknown
66,284.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
67,284.0,59904,6,71,255,00 EE 00 ,Unknown
68,288.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
69,289.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
70,289.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
71,290.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
72,290.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
73,291.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
74,298.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
75,301.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
76,302.0,61184,1,6,0,64 15 10 F0 00 00 A9 0E ,Unknown
77,308.0,61443,3,0,255,FF 00 00 FF 07 FF FF FF ,Unknown
