,time,pgn,priority,source,destination,data,description
0,0.0,60928,6,71,255,4D 74 30 04 00 34 02 20 ,Unknown
1,1.0,60928,6,6,255,4D 74 30 04 00 0E 00 20 ,Unknown
2,1.0,60928,6,3,255,4D 74 30 04 00 03 02 20 ,Unknown
3,34.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
4,36.0,61444,3,0,255,F0 FF 00 00 00 FF FF FF ,Unknown
5,37.0,59904,6,0,255,00 EE 00 ,Unknown
6,46.0,61443,3,0,255,FF 00 00 FF 00 FF FF FF ,Unknown
7,47.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
8,47.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
9,56.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
10,66.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
11,67.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
12,67.0,61184,6,0,6,64 0E 03 02 FF FF FF FF ,Unknown
13,76.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
14,86.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
15,86.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
16,87.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
17,88.0,65247,6,0,255,7D FE 1C FF FF FF FF FF ,Unknown
18,88.0,60416,7,0,255,20 22 00 05 FF E3 FE 00 ,Unknown
19,96.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
20,106.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
21,106.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
22,107.0,65263,6,0,255,FF FF FF FE FF FF FF FA ,Unknown
23,116.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
24,126.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
25,126.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
26,136.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
27,139.0,60160,7,0,255,01 20 1C DD 68 42 DC A0 ,Unknown
28,145.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
29,146.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
30,147.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
31,155.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
32,165.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
33,166.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
34,166.0,61184,6,0,6,64 0E 0D 02 FF FF FF FF ,Unknown
35,175.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
36,185.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
37,186.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
38,186.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
39,187.0,65270,6,0,255,FF 00 4B FF 00 FF FF FF ,Unknown
40,187.0,60160,7,0,255,02 0F D5 8D 20 E3 7A 31 ,Unknown
41,195.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
42,205.0,61184,6,0,250,64 01 FF 00 00 FF FF FF ,Unknown
43,205.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
44,206.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
45,215.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
46,225.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
47,225.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
48,235.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
49,238.0,60160,7,0,255,03 F1 C0 44 FF FF 04 01 ,Unknown
50,245.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
51,245.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
52,246.0,65266,6,0,255,00 00 FF FF FF FF FF FF ,Unknown
53,255.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
54,259.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
55,260.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
56,260.0,0,3,6,0,30 FF FF FF F8 FF FF FF ,Unknown
57,264.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
58,265.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
59,266.0,61184,6,0,6,64 0E 17 06 FF FF FF FF ,Unknown
60,274.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
61,279.0,126720,3,71,6,01 04 FF FF FF FF FF F1 ,Unknown
62,279.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
63,280.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
64,281.0,65534,3,6,255,5C 27 1D 27 1D FF FF FF ,Unknown
65,281.0,65531,6,6,255,00 05 7D F8 FF FF FF FF ,Unknown
66,282.0,59904,6,71,255,00 EE 00 ,Unknown
67,284.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
68,285.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
69,285.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
70,286.0,61184,6,0,255,64 10 0B 0B 00 00 00 7D ,Unknown
71,286.0,60928,6,0,255,56 F5 29 04 00 00 02 20 ,Unknown
72,287.0,60160,7,0,255,04 20 4E 00 01 FA C9 FA ,Unknown
73,294.0,61444,3,0,255,F0 FF 7D 00 00 FF FF FF ,Unknown
74,299.0,126720,3,3,6,01 01 FF FF FF FF FF F5 ,Unknown
75,299.0,61184,1,6,0,64 15 10 F0 00 00 93 0E ,Unknown
76,304.0,61443,3,0,255,FF 00 00 FF 06 FF FF FF ,Unknown
77,305.0,61184,3,0,255,64 06 00 7D FF FF FF FF ,Unknown
